state/州,district/地区,market,commodity_name/名字,min_price,max_price,date,类别+10
4,8,18,6,25,48,528,10
1,2,10,13,53.5,55.25,528,10
1,4,11,13,54,55.8,528,10
1,4,4,13,54.6,55.3,528,9
1,1,1,15,54.75,57,610,9
1,3,3,15,50,57,610,10
3,6,14,15,57.7,64.25,610,9
1,1,1,17,51.25,63.25,610,8
1,3,26,17,51.8,59.2,610,10
1,3,3,17,46.25,61.4,610,10
1,1,19,17,52.5,63.5,610,9
2,5,5,1,98,131,706,9
4,8,20,18,24,26,610,11
1,1,1,22,35.8,44.8,529,10
4,7,15,22,23.73,59.29,529,10
4,9,9,22,31.58,44.89,529,9
2,5,5,22,36.5,48.81,529,10
2,5,5,7,17.22,17.97,610,8
1,4,21,27,5.55,23,529,10
1,2,23,19,110,110,610,10
1,1,1,19,100,157.55,610,10
1,4,24,19,123.75,150,610,9
1,2,25,19,153.5,153.5,610,10
1,2,10,19,105.55,156.55,610,10
1,3,26,19,145,154.75,610,10
1,3,3,19,105,112.55,610,10
1,4,11,19,128.8,158.05,610,9
1,1,19,19,144.95,162.5,610,10
1,1,28,19,142.5,155.1,610,10
1,2,29,19,145,162.5,610,9
1,2,10,29,65,93.5,529,10
2,5,5,29,83.91,96.5,529,10
4,8,8,14,54,58,528,10
1,1,1,30,17.5,29.1,529,9
1,2,10,30,28.75,28.75,529,9
4,9,9,30,20.13,28.93,529,9
1,4,12,1,83.5,111.3,709,10
1,4,21,25,16.5,25,610,10
4,8,20,25,40,44,610,11
1,2,23,22,45.75,50,610,10
1,1,1,22,28,44.35,610,10
1,2,25,22,47.75,55,610,10
1,3,26,22,38.75,47.8,610,9
1,3,3,22,45,55,610,10
1,1,19,22,35.75,54.1,610,10
1,1,28,22,40,52.6,610,11
1,2,35,22,51.05,51.05,610,10
4,9,32,22,35.09,61.66,610,9
3,6,13,22,32.01,50.12,610,9
1,1,22,27,28,35,610,9
1,4,21,27,15.55,39,610,10
1,3,3,1,90,113.25,722,10
1,2,10,1,53.05,115.55,528,11
1,4,12,1,27.5,179.55,528,10
2,5,5,3,20,96,617,10
1,1,28,13,51.25,53.5,529,10
1,2,29,13,54.4,55,529,10
1,2,10,29,69.5,91.75,610,9
1,1,19,13,45,52,530,11
1,2,25,13,51.5,52.55,618,10
1,4,12,1,30,174.5,529,10
1,1,1,30,20.1,30,610,10
1,3,3,30,10,14.8,610,10
1,1,19,30,18.05,31,610,10
1,1,28,30,20,31,610,10
1,2,29,30,28.5,34.75,610,8
1,2,25,13,51.75,52.45,618,10
1,4,12,1,85.05,110.6,722,10
2,5,5,19,94.4,157,528,10
2,10,17,2,39,46.2,704,9
1,2,29,1,127.5,165,529,10
1,1,1,15,41.5,70.8,530,9
1,1,1,17,54,65.45,530,10
1,1,22,10,17,22,529,9
1,1,22,12,25,33,529,9
1,4,11,13,52.75,53.45,613,10
1,1,19,8,32.5,40,611,10
1,2,29,19,138.8,159.4,529,10
1,1,1,19,85,162.6,530,10
1,4,4,13,52.1,52.55,618,9
1,1,28,22,40,50.75,529,10
1,1,22,27,22,27,529,10
1,1,22,27,25,30,530,10
2,5,5,1,30,122,722,10
1,3,26,17,54,61.75,529,10
1,2,29,13,51.25,52.5,618,10
1,3,26,19,125,156,529,10
1,4,11,19,126.3,154.5,529,10
1,4,12,19,130.2,170,529,9
1,2,29,13,51.5,52.3,618,10
1,1,19,30,21,30.5,529,10
1,4,11,13,54.25,54.9,529,10
1,4,4,13,53,54.2,529,10
1,4,30,13,53,55,529,10
1,4,11,19,135,149.55,613,10
1,1,1,13,45.25,51.45,611,9
1,2,25,13,52,52.75,611,10
1,2,25,13,50.75,52,611,10
4,9,16,2,28.5,45.19,610,10
1,1,22,12,25,30,530,10
1,4,11,30,31.05,32,613,9
1,1,1,15,42.5,64.1,611,10
1,1,1,17,50.9,62.75,611,10
2,5,5,29,67,94.76,610,10
1,1,1,19,84.8,158.3,611,10
1,2,25,19,150,151.25,611,10
1,3,26,19,140,157.75,611,9
1,4,11,19,118.55,157.05,611,10
1,4,12,19,130,174.5,611,10
2,5,5,7,17.34,17.79,613,10
4,8,20,18,33,35,530,9
3,6,13,7,17.1,17.39,613,10
1,4,30,13,53.25,53.75,612,10
1,2,25,19,147.5,150,529,10
1,4,21,9,2,12,613,10
1,1,1,23,52.75,62,611,10
1,1,19,23,65,65,611,10
1,1,1,22,34.05,49.5,611,10
1,2,25,22,51.05,57.05,611,10
1,3,26,22,37.5,48.3,611,9
1,1,19,22,42.4,54,611,10
4,9,16,22,30.39,61.21,611,9
2,5,5,15,55,70.4,610,10
1,2,35,22,52.55,53.55,612,10
1,4,12,29,70,107.1,611,10
1,1,1,30,20.9,24.1,611,10
1,3,26,30,25,28.15,611,10
1,1,19,30,22.05,31.25,611,9
1,2,29,13,53.25,53.7,610,7
1,2,29,13,54,54.75,610,9
1,1,22,27,26,32,621,10
1,4,12,1,25,120,611,10
1,4,4,13,51.5,52.75,612,10
1,1,19,13,45,45,612,10
2,5,5,22,30,48.76,610,10
1,2,29,19,130,160,610,10
1,4,31,13,52,53.6,612,10
3,6,14,1,110.51,128.5,722,10
4,7,15,22,25.9,60.6,610,10
4,9,16,22,32.29,61.39,610,9
4,9,16,30,15.9,25.38,610,9
1,4,30,13,52.55,53,611,9
1,2,10,29,81.35,90.25,611,9
1,1,19,17,55,65,529,10
3,6,13,21,12.5,55,528,10
1,2,35,22,56.55,56.55,611,9
1,1,22,27,25,30,611,10
2,5,5,1,80,111.76,729,10
4,8,20,25,32.5,45,613,10
4,8,8,23,88,94,613,12
2,5,5,3,30.01,116,628,10
1,1,22,27,12.5,14.5,617,10
1,1,22,10,25,32,620,9
1,4,30,13,53.05,53.75,613,9
4,8,20,18,19,21,611,10
1,1,22,10,17,25,615,10
1,4,31,13,52.75,54.25,615,9
2,5,5,3,116.01,120.71,704,9
1,1,22,10,18,25,621,10
1,2,23,13,52.75,52.9,613,10
1,4,31,13,51.5,53.7,613,10
1,4,31,13,53.1,53.7,613,9
1,4,31,13,53,54.15,613,9
3,6,14,1,105.97,124,729,10
1,3,3,19,50,63,529,10
3,6,13,22,32,50.01,612,8
1,3,26,19,127,153.25,618,13
1,2,29,19,142.5,157.5,618,10
1,4,12,19,135.55,173.05,618,10
1,2,29,13,52.5,53.75,613,9
1,1,28,17,55,61.1,619,9
1,1,22,12,38,46,615,10
2,5,5,7,17,17.9,617,9
3,6,13,7,17,17.69,617,9
1,4,12,1,83.75,91.25,731,10
4,8,20,10,18,22,613,10
2,5,5,15,38,71.51,613,10
3,6,14,15,60.87,65,613,10
1,3,26,13,42.5,45,617,10
1,4,12,1,82.5,120.5,806,10
1,4,4,13,53,53.65,617,10
2,5,5,1,77,122.01,806,10
1,1,1,13,50.95,52.4,725,10
1,2,29,19,135,156.5,613,10
2,5,5,19,123.01,154.01,613,9
1,4,24,13,53.5,53.9,725,10
